127.0.0.1 - - [15/Mar/2022:18:30:17 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:30:19 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:30:19 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:40:10 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:40:11 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:40:20 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:41:02 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:43:10 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:44:27 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:45:16 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:45:23 +0530] "GET /JDBCCURD/aboutus.jsp HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:13 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:14 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:15 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:51 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:51 +0530] "GET /JDBCCURD/Home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:52 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:52 +0530] "GET /JDBCCURD/Home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:52 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:52 +0530] "GET /JDBCCURD/Home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:53 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:53 +0530] "GET /JDBCCURD/Home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:53 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1027
0:0:0:0:0:0:0:1 - - [15/Mar/2022:18:55:53 +0530] "GET /JDBCCURD/Home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:00:07 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:00:07 +0530] "GET /JDBCCURD/home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:00:09 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:00:09 +0530] "GET /JDBCCURD/home.jpeg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:02:32 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1030
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:02:32 +0530] "GET /JDBCCURD/home.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [15/Mar/2022:19:02:34 +0530] "GET /JDBCCURD/Home.jsp HTTP/1.1" 200 1030
